declare time, millis	run time, millis	fact name	fact params	curator type
0.5923	3.9065000000000003	Access	{"admission": true}	AccessCurator
0.5107999999998114	25.90350000000008	Violation	{}	AccessCurator
1.7636999999979253	54.655400000001464	Violation	{}	AccessCurator
1.6193999999956077	27.07959999999332	Access	{"admission": false}	AccessCurator
0.816000000000372	46.98410000000308	Violation	{}	AccessCurator
2.1386999999890577	11.873899999997661	Access	{"admission": true}	AccessCurator
1.1385000000103673	41.477700000001505	Violation	{}	AccessCurator
0.5368999999859625	15.972299999987172	Fire	{"0": true, "fromCurator": true}	AccessCurator
0.7069000000115011	11.783899999983305	Violation	{}	AccessCurator
1.5589999999860993	16.39090000000465	Access	{"admission": true}	AccessCurator
1.0177999999996246	21.25409999999306	Violation	{}	AccessCurator
1.6342000000122425	10.76350000002435	Access	{"admission": false}	AccessCurator
0.5015999999784526	15.420000000005984	Fire	{"0": false, "fromCurator": true}	AccessCurator
0.5031999999971504	21.335100000015927	Violation	{}	AccessCurator
2.07829999999376	9.124699999972563	Access	{"admission": false}	AccessCurator
2.138599999966573	12.052700000026562	Access	{"admission": true}	AccessCurator
0.5461999999738509	27.848799999958374	Violation	{}	AccessCurator
0.4370999999991909	15.495999999984633	Fire	{"0": true, "fromCurator": true}	AccessCurator
0.649199999998018	18.009399999982634	Access	{"admission": true}	AccessCurator
0.654400000030364	13.445699999977023	Violation	{}	AccessCurator
0.9256999999820437	20.22069999998166	Violation	{}	AccessCurator
0.8113000000093962	10.908299999982773	Access	{"admission": true}	AccessCurator
1.7882000000213338	47.3931999999877	Violation	{}	AccessCurator
0.6139999999845713	15.874399999972866	Fire	{"0": false, "fromCurator": true}	AccessCurator
2.3878000000081556	53.85839999996733	Violation	{}	AccessCurator
1.13949999996521	18.018700000027366	Access	{"admission": false}	AccessCurator
1.4033999999583102	24.076400000012654	Access	{"admission": true}	AccessCurator
1.738799999998264	19.896799999969517	Access	{"admission": false}	AccessCurator
0.845199999957913	31.451399999923524	Violation	{}	AccessCurator
1.3390999999955966	57.42670000006456	Violation	{}	AccessCurator
2.0819000000074084	9.76309999998648	Access	{"admission": true}	AccessCurator
0.5803000000241809	25.84100000001399	Violation	{}	AccessCurator
1.8198000000211323	16.40260000010585	Access	{"admission": false}	AccessCurator
1.2999000000490923	33.70729999994637	Fire	{"0": true, "fromCurator": true}	AccessCurator
1.6276000000061686	11.755399999969995	Violation	{}	AccessCurator
1.7307000000528205	10.04360000001725	Access	{"admission": false}	AccessCurator
1.7689000000018495	4.4868999999607695	Violation	{}	AccessCurator
2.078100000062477	10.10350000001381	Access	{"admission": true}	AccessCurator
2.2947000001067863	12.804599999981292	Access	{"admission": true}	AccessCurator
1.0510999999269188	4.9645999999938795	Violation	{}	AccessCurator
2.3997000000690605	28.896000000031563	Access	{"admission": true}	AccessCurator
1.1819000000059532	2.447399999937261	Violation	{}	AccessCurator
1.0029000000031374	10.290799999893352	Fire	{"0": false, "fromCurator": true}	AccessCurator
0.6620999999995547	18.613400000049296	Violation	{}	AccessCurator
0.8957999999665844	3.193600000031438	Access	{"admission": false}	AccessCurator
3.617100000042228	77.0066999999699	Access	{"admission": false}	AccessCurator
1.7215000000305736	52.4244999999155	Violation	{}	AccessCurator
2.0784000000730884	11.883399999987887	Access	{"admission": false}	AccessCurator
1.082999999994172	27.339600000004793	Violation	{}	AccessCurator
1.723699999956807	57.97970000003261	Violation	{}	AccessCurator
1.6887000000451735	9.501699999987068	Access	{"admission": true}	AccessCurator
1.1216000000331405	34.055999999964115	Violation	{}	AccessCurator
1.1983999999074513	16.319800000019313	Fire	{"0": true, "fromCurator": true}	AccessCurator
2.0756000000119457	10.999100000049111	Violation	{}	AccessCurator
1.9406999999773689	6.215200000042387	Access	{"admission": false}	AccessCurator
1.831100000117658	11.712700000089171	Violation	{}	AccessCurator
1.7706000000998756	10.044599999901038	Violation	{}	AccessCurator
1.6829999999572465	11.256300000013653	Access	{"admission": true}	AccessCurator
2.4710999998660554	3.9970999998786283	Access	{"admission": true}	AccessCurator
1.634100000046601	5.133800000066913	Violation	{}	AccessCurator
1.8830999999863707	10.995899999898029	Access	{"admission": true}	AccessCurator
1.1915000000044529	5.15310000014324	Violation	{}	AccessCurator
1.0026999998444808	19.514599999865823	Fire	{"0": false, "fromCurator": true}	AccessCurator
3.0776999999488908	11.000699999840435	Access	{"admission": true}	AccessCurator
1.747100000102364	62.4476999998933	Violation	{}	AccessCurator
1.7402000000856788	11.035200000151235	Access	{"admission": false}	AccessCurator
1.0617999998885352	15.95509999992828	Fire	{"0": true, "fromCurator": true}	AccessCurator
2.1613999999772204	9.1880999998466	Violation	{}	AccessCurator
1.7688999998881627	10.617899999942892	Violation	{}	AccessCurator
1.9827000000987027	12.312600000086604	Access	{"admission": false}	AccessCurator
2.1294000000580127	10.42579999989357	Violation	{}	AccessCurator
1.2389999999413703	4.003600000032748	Violation	{}	AccessCurator
0.9885999998004991	5.953900000122303	Access	{"admission": false}	AccessCurator
1.24510000000555	4.857199999833028	Access	{"admission": true}	AccessCurator
1.737700000148834	9.071700000049532	Violation	{}	AccessCurator
0.8268999999927473	3.6769999999251013	Violation	{}	AccessCurator
0.6404999999176653	12.64990000004218	Fire	{"0": false, "fromCurator": true}	AccessCurator
0.8689000001140812	18.838899999991554	Violation	{}	AccessCurator
1.036999999996624	4.951000000119166	Access	{"admission": false}	AccessCurator
0.6539000000884698	20.44730000011441	Violation	{}	AccessCurator
1.8178000000261818	72.33190000010836	Violation	{}	AccessCurator
