declare time, millis	run time, millis	fact name	fact params	curator type
1.3116	42.7848	Violation	{}	AccessCurator
3.2215999999998246	67.2103999999969	Violation	{}	AccessCurator
2.025400000000843	19.95179999999408	Access	{"admission": true}	AccessCurator
3.0456000000000927	23.98579999999839	Access	{"admission": true}	AccessCurator
2.765199999998913	57.74969999999513	Violation	{}	AccessCurator
1.8354999999985466	96.05419999999754	Violation	{}	AccessCurator
1.142999999999006	36.2956999999966	Fire	{"0": true, "fromCurator": true}	AccessCurator
2.146600000003218	16.6593000000006	Access	{"admission": true}	AccessCurator
2.1766000000127406	12.644699999995623	Violation	{}	AccessCurator
1.942000000013877	11.365399999988313	Access	{"admission": false}	AccessCurator
0.5617999999856238	12.666800000005196	Violation	{}	AccessCurator
0.6500000000073669	8.925199999993083	Violation	{}	AccessCurator
0.6066999999916334	55.858999999998105	Access	{"admission": true}	AccessCurator
0.5053999999518055	11.230300000022453	Fire	{"0": false, "fromCurator": true}	AccessCurator
0.45490000002246234	17.792999999983294	Violation	{}	AccessCurator
2.0298999999681655	65.49150000000736	Violation	{}	AccessCurator
2.376999999967211	8.485100000029888	Access	{"admission": false}	AccessCurator
0.7942000000298322	12.941399999988334	Access	{"admission": false}	AccessCurator
0.9630999999785672	25.006100000041442	Violation	{}	AccessCurator
0.41379999998980566	9.785800000031486	Fire	{"0": true, "fromCurator": true}	AccessCurator
1.76979999997684	15.850600000021586	Access	{"admission": false}	AccessCurator
2.6521999999999935	14.238200000022516	Access	{"admission": true}	AccessCurator
1.9960999999852902	10.071299999992789	Violation	{}	AccessCurator
0.5884999999921092	5.676700000037727	Violation	{}	AccessCurator
1.6616999999996551	18.27549999995881	Access	{"admission": true}	AccessCurator
1.959400000032474	12.801899999999478	Access	{"admission": true}	AccessCurator
1.8473999999741864	14.259199999969496	Access	{"admission": true}	AccessCurator
1.5219000000570304	11.646799999994073	Violation	{}	AccessCurator
0.7299000000102751	5.264900000042871	Access	{"admission": true}	AccessCurator
0.6113000000596003	11.312599999996564	Fire	{"0": false, "fromCurator": true}	AccessCurator
0.574200000073688	19.010900000012043	Violation	{}	AccessCurator
1.4767000000119879	74.99880000000303	Violation	{}	AccessCurator
0.6236000000399144	3.8071000000172717	Access	{"admission": true}	AccessCurator
1.5129999999317079	63.81799999996929	Violation	{}	AccessCurator
3.336300000000847	7.2427000000061525	Access	{"admission": true}	AccessCurator
2.062700000010409	62.00649999993857	Violation	{}	AccessCurator
2.3468000000548273	70.51469999998972	Violation	{}	AccessCurator
0.6981000000223503	3.260100000034072	Access	{"admission": false}	AccessCurator
0.5666999999220934	13.317400000005364	Fire	{"0": true, "fromCurator": true}	AccessCurator
1.7664999999169595	19.540699999993194	Access	{"admission": true}	AccessCurator
0.6238000000848842	7.552600000053644	Violation	{}	AccessCurator
2.1839999999428983	18.97750000000542	Access	{"admission": true}	AccessCurator
0.6696000000374625	7.12229999999181	Violation	{}	AccessCurator
1.6477000000350017	10.996400000067297	Access	{"admission": true}	AccessCurator
0.5518000000000001	5.5920000000000005	Access	{"admission": true}	AccessCurator
0.590400000000102	26.853300000000857	Violation	{}	AccessCurator
0.5124999999992497	32.20710000000793	Violation	{}	AccessCurator
0.575999999995247	9.64439999999911	Access	{"admission": false}	AccessCurator
0.412399999987656	11.062199999997802	Fire	{"0": true, "fromCurator": true}	AccessCurator
0.44829999998796666	8.888299999995297	Violation	{}	AccessCurator
0.4991999999788277	13.000999999974283	Fire	{"0": false, "fromCurator": true}	AccessCurator
0.6354999999871325	4.956599999985656	Access	{"admission": true}	AccessCurator
0.541700000013634	3.100700000004508	Access	{"admission": true}	AccessCurator
0.561199999992823	2.6629999999840948	Access	{"admission": false}	AccessCurator
0.5398000000127468	42.372700000015584	Violation	{}	AccessCurator
0.4920000000083746	3.6884999999813317	Access	{"admission": false}	AccessCurator
0.49569999998766434	3.892600000000357	Access	{"admission": true}	AccessCurator
0.4364000000123269	17.12070000002086	Violation	{}	AccessCurator
0.40309999999976753	30.225300000012112	Violation	{}	AccessCurator
0.7810999999833257	3.9969000000041888	Access	{"admission": true}	AccessCurator
0.6832999999915046	20.457000000021708	Violation	{}	AccessCurator
2.4685000000204127	68.78789999996116	Violation	{}	AccessCurator
0.5590000000097461	9.034500000041135	Fire	{"0": true, "fromCurator": true}	AccessCurator
1.4883999999710795	30.598899999972673	Access	{"admission": true}	AccessCurator
0.4609000000073138	16.501599999969585	Fire	{"0": false, "fromCurator": true}	AccessCurator
2.1782000000030166	16.161100000033457	Access	{"admission": true}	AccessCurator
0.5740999999943597	6.364399999995385	Access	{"admission": false}	AccessCurator
0.5093999999985499	24.527400000010857	Violation	{}	AccessCurator
0.5059000000073866	29.946899999970356	Violation	{}	AccessCurator
0.5120000000147229	23.07839999997441	Violation	{}	AccessCurator
0.9347999999818057	3.7728000000356587	Access	{"admission": false}	AccessCurator
1.167000000009466	9.836000000007061	Access	{"admission": false}	AccessCurator
0.5360999999766136	20.49099999999271	Violation	{}	AccessCurator
0.835800000004383	5.963199999996505	Access	{"admission": true}	AccessCurator
0.5196999999839136	22.87199999994982	Violation	{}	AccessCurator
1.0649000000171327	30.223199999966255	Violation	{}	AccessCurator
0.7727999999929125	6.56480000003512	Access	{"admission": false}	AccessCurator
0.5417999999508538	19.1955999999891	Violation	{}	AccessCurator
1.6529000000105043	72.99870000002784	Violation	{}	AccessCurator
0.8263999999940097	13.508699999988494	Fire	{"0": true, "fromCurator": true}	AccessCurator
0.6285999999704472	4.664599999955499	Access	{"admission": false}	AccessCurator
